GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ErzincanSecimAPI,org.example.model,PoliticialParty,0,30,0,0,0,9,0,5,0,5
ErzincanSecimAPI,org.example,Main,24,67,3,7,7,16,5,6,3,3
